2026-03-28 14:39:41.243 | INFO     | __main__            :<module>       :107  - 【测试】logger.py内部调用（仅测试，业务模块调用会显示正确文件名）
2026-03-28 14:39:41.431 | ERROR    | __main__            :<module>       :108  - 【测试】程序报错啦啦啦啦啦
2026-03-28 15:19:51.266 | INFO     | test_import_main_graph.py:<module>       :8    - ===== 开始测试 =====
2026-03-28 15:19:51.794 | INFO     | node_entry.py       :node_entry     :28   - >>> [node_entry]开始执行了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': False, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': '万用表RS-12的使用.pdf', 'file_title': '', 'pdf_path': '', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:19:51.800 | INFO     | node_entry.py       :node_entry     :57   - >>> [node_entry]开始结束了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': '万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': '万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:19:51.804 | INFO     | test_import_main_graph.py:<module>       :16   - 节点: node_entry
2026-03-28 15:19:51.806 | INFO     | node_pdf_to_md.py   :node_pdf_to_md :67   - >>> [node_pdf_to_md]开始执行了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': '万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': '万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:19:51.809 | INFO     | node_pdf_to_md.py   :step_1_validate_paths:29   - step_1_validate_paths检查发现local_dir没有赋值，给与默认值：E:\Code\PythonProject\Project\SGG_掌柜智库\output！
2026-03-28 15:19:51.814 | ERROR    | node_pdf_to_md.py   :step_1_validate_paths:35   - [step_1_validate_paths检查发现pdf_path不存在，请检查输入文件路径是否正确！！
2026-03-28 15:19:51.818 | ERROR    | node_pdf_to_md.py   :node_pdf_to_md :90   - >>> [node_pdf_to_md]使用minerU解析发生了异常，异常信息：[step_1_validate_paths]检查发现pdf_path不存在，请检查输入文件路径是否正确！！
2026-03-28 15:19:51.822 | INFO     | node_pdf_to_md.py   :node_pdf_to_md :94   - >>> [node_pdf_to_md]开始结束了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': '万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': '万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:20:47.176 | INFO     | test_import_main_graph.py:<module>       :8    - ===== 开始测试 =====
2026-03-28 15:20:47.593 | INFO     | node_entry.py       :node_entry     :28   - >>> [node_entry]开始执行了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': False, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '', 'pdf_path': '', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:20:47.597 | INFO     | node_entry.py       :node_entry     :57   - >>> [node_entry]开始结束了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:20:47.601 | INFO     | test_import_main_graph.py:<module>       :16   - 节点: node_entry
2026-03-28 15:20:47.602 | INFO     | node_pdf_to_md.py   :node_pdf_to_md :67   - >>> [node_pdf_to_md]开始执行了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 15:20:47.606 | INFO     | node_pdf_to_md.py   :step_1_validate_paths:29   - step_1_validate_paths检查发现local_dir没有赋值，给与默认值：E:\Code\PythonProject\Project\SGG_掌柜智库\output！
2026-03-28 15:20:47.609 | ERROR    | node_pdf_to_md.py   :step_1_validate_paths:38   - [step_1_validate_paths检查发现local_dir不存在，主动创建对应的文件夹！！！
2026-03-28 15:20:47.613 | ERROR    | node_pdf_to_md.py   :node_pdf_to_md :90   - >>> [node_pdf_to_md]使用minerU解析发生了异常，异常信息：expected str, bytes or os.PathLike object, not NoneType
2026-03-28 15:20:47.616 | INFO     | node_pdf_to_md.py   :node_pdf_to_md :94   - >>> [node_pdf_to_md]开始结束了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': WindowsPath('E:/Code/PythonProject/Project/SGG_掌柜智库/output'), 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'md_path': None, 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 18:10:25.299 | INFO     | test_import_main_graph.py:<module>       :8    - ===== 开始测试 =====
2026-03-28 18:10:25.697 | INFO     | node_entry.py       :node_entry     :30   - >>> [node_entry]开始执行了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': False, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '', 'pdf_path': '', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 18:10:25.701 | INFO     | node_entry.py       :node_entry     :68   - >>> [node_entry]开始结束了！现在的状态为：{'task_id': '', 'is_md_read_enabled': False, 'is_pdf_read_enabled': True, 'is_normal_split_enabled': True, 'is_silicon_flow_api_enabled': True, 'is_advanced_split_enabled': False, 'is_vllm_enabled': False, 'local_dir': '', 'local_file_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'file_title': '万用表RS-12的使用', 'pdf_path': 'E:\\Code\\PythonProject\\Project\\SGG_掌柜智库\\doc\\万用表RS-12的使用.pdf', 'md_path': '', 'split_path': '', 'embeddings_path': '', 'md_content': '', 'chunks': [], 'item_name': '', 'embeddings_content': []}
2026-03-28 18:10:25.705 | INFO     | test_import_main_graph.py:<module>       :16   - 节点: node_entry
